Word	Val_N	Val_M	Val_SD	Ar_N	Ar_M	Ar_SD	Con_N	Con_M	Con_SD	length	Cluster	Freq	Avrg_Cosine
Engel	39	7.03	2.80	27	3.67	2.86	19	8.37	1.98	5	3	236191	0.43439093148738983
Parallele	28	5.68	1.94	33	2.00	2.12	21	6.29	2.70	9	1	67515	0.1710628321314334
Made	27	2.19	1.86	14	4.79	3.40	18	8.17	2.92	4	2	12704	0.17288184264154802
Weltherrschaft	24	3.71	3.83	20	5.75	3.18	20	5.95	3.49	14	2	14238	0.06854494722827949
Gala	26	5.23	2.05	27	3.89	2.69	31	5.74	2.82	4	1	7249	0.3318526353453176
Samt	28	7.00	2.29	30	2.77	2.86	19	7.79	2.35	4	3	7362	0.05439549456041674
Garderobe	29	5.55	2.37	27	1.93	1.92	12	7.67	3.23	9	3	29976	0.18369946477762975
Machwerk	21	5.33	2.11	19	2.26	2.00	25	2.56	2.74	8	1	12944	0.2204386500721384
Beschluss	27	4.93	1.54	31	3.61	2.58	28	4.29	2.58	9	1	377282	0.2583603530638186
Schaf	26	6.23	2.16	15	2.60	2.61	22	9.55	1.14	5	3	155467	0.140808862620254
Schwester	29	6.62	2.61	28	3.54	2.59	23	8.87	1.55	9	3	517515	0.07361285509922837
Beleidigung	23	2.39	1.88	20	6.25	3.11	23	5.65	2.92	11	2	94662	0.19504421189927035
Händler	31	4.77	1.93	19	2.95	2.78	19	7.89	1.56	7	3	478348	0.10399375388932856
Engstirnigkeit	24	1.92	2.19	21	3.71	3.23	28	4.68	2.65	14	2	3464	0.20232595852498125
Ausbruch	22	4.05	2.42	23	6.30	3.08	13	6.62	2.33	8	2	97570	0.26363587677637995
Presse	31	4.68	1.45	28	4.82	2.29	15	7.40	2.90	6	2	343570	0.16284636301441752
